Recipe Title,Recipe URL,Recipe Video,Cutlery,Container,
One-Pan Spicy Prawns and Rice,https://tasty.co/recipe/one-pan-spicy-prawns-and-rice,238,fork,bowl,
Slow Cooker Chicken Tikka Masala,https://tasty.co/recipe/slow-cooker-chicken-tikka-masala,235,spoon,plate,
Beer-battered Onion Rings By Martha Stewart,https://tasty.co/recipe/beer-battered-onion-rings-by-martha-stewart,266,person,plate,
Cauliflower Shrimp Fried Rice,https://tasty.co/recipe/cauliflower-shrimp-fried-rice,271,fork,bowl,
Berry French Toast Cups,https://tasty.co/recipe/berry-french-toast-cups,286,person,plate,
Easy Foil-Pack Lemon And Rosemary Chicken Dinner,https://tasty.co/recipe/easy-foil-pack-lemon-and-rosemary-chicken-dinner,282,"fork, knife",plate,
Healthier Chicken Alfredo Pasta,https://tasty.co/recipe/healthier-chicken-alfredo-pasta,277,fork,bowl,
Zucchini Shrimp Scampi,https://tasty.co/recipe/zucchini-shrimp-scampi,276,fork,bowl,
Zucchini Tots,https://tasty.co/recipe/zucchini-tots,281,person,none,
Hidden Veggie Chicken & Rice,https://tasty.co/recipe/hidden-veggie-chicken-rice,289,"fork, knife",plate,
Malaysian-style Barbecue Pork Belly (Char Siu Pork),https://tasty.co/recipe/malaysian-style-barbecue-pork-belly-char-siu-pork,295,chopsticks,plate,
Chicken Tinga Tacos (Tinga De Pollo),https://tasty.co/recipe/chicken-tinga-tacos-tinga-de-pollo,305,person,plate,
Lemon Ricotta Pancakes,https://tasty.co/recipe/lemon-ricotta-pancakes,315,"fork, knife",plate,
Easy Sticky Chicken Drumsticks,https://tasty.co/recipe/easy-sticky-chicken-drumsticks,323,person,plate,
Popcorn Shrimp,https://tasty.co/recipe/popcorn-shrimp,337,person,bowl,
Baked Shrimp Scampi Linguine Pasta,https://tasty.co/recipe/baked-shrimp-scampi-linguine,336,fork,plate,
Under 300-Calorie Honey Lime Shrimp,https://tasty.co/recipe/under-300-calorie-honey-lime-shrimp,340,fork,plate,
Shrimp And Asparagus Stir Fry (Under 300 Calories),https://tasty.co/recipe/shrimp-and-asparagus-stir-fry,344,fork,bowl,
Honey Garlic Shrimp Stir-Fry,https://tasty.co/recipe/honey-garlic-shrimp-stir-fry,339,chopsticks,bowl,
Beef And Broccoli Stir-Fry,https://tasty.co/recipe/beef-and-broccoli-stir-fry,346,fork,bowl,
Steak Fajita Quesadillas,https://tasty.co/recipe/steak-fajita-quesadillas,351,person,none,dipped in sauce in bowl
Cheesy Potato Casserole,https://tasty.co/recipe/cheesy-potato-casserole,358,none,none,
Creamy Lemon Garlic Chicken,https://tasty.co/recipe/creamy-lemon-garlic-chicken,373,"fork, knife",plate,
Shrimp Spinach Bacon Alfredo,https://tasty.co/recipe/shrimp-bacon-spinach-alfredo,364,fork,plate,
One-Pot Chicken Spinach Bacon Alfredo,https://tasty.co/recipe/one-pot-chicken-spinach-bacon-alfredo,368,fork,bowl,
Berry Smoothie Bowl,https://tasty.co/recipe/berry-smoothie-bowl,377,spoon,bowl,
Fluffy Jiggly Japanese Cheesecake,https://tasty.co/recipe/fluffy-jiggly-japanese-cheesecake,382,spoon,plate,
"Ham, Cheese, And Spinach-stuffed Chicken",https://tasty.co/recipe/ham-cheese-and-spinach-stuffed-chicken,404,"fork, knife",plate,
Taco Pizza,https://tasty.co/recipe/taco-pizza,406,person,plate,
Southwest Chicken Alfredo Pasta Bake,https://tasty.co/recipe/southwest-chicken-pasta-bake,401,fork,none,
Honey Garlic Chicken Wings,https://tasty.co/recipe/honey-garlic-chicken-wings,402,person,plate,
Pumpkin Spice Donut Holes,https://tasty.co/recipe/pumpkin-spice-donut-holes,426,person,plate,
Double-Decker Steak Breakfast Tacos,https://tasty.co/recipe/double-decker-steak-breakfast-tacos,424,person,plate,
Quinoa Taco-Stuffed Peppers,https://tasty.co/recipe/quinoa-taco-stuffed-peppers,441,"fork, knife",plate,
Cranberry Cream Cheese Braid,https://tasty.co/recipe/cranberry-cream-cheese-braid,444,person,plate,
