Recipe Title,Recipe URL,Recipe Video,Most_Accurate_Cutlery,Most_Occurring_Cutlery,Last_Detected_Cutlery,All_Cutlery,Most_Accurate_Container,Most_Occurring_Container,Last_Detected_Container,All_Containers,Most_Accurate_Glass,Most_Occurring_Glass,Last_Detected_Glass,All_Glasses,Potential Foods,Other detections
Easy Chicken Curry With Kanchan Koya,https://tasty.co/recipe/easy-chicken-curry-with-tasty-story-kanchan-koya,93.0,"[{'Cutlery': 'person', 'Accuracy': 92}, {'Cutlery': 'fork', 'Accuracy': 62}]","[{'Cutlery': 'fork', 'Occurrence': 20, 'Average Accuracy': 52.85}]","{'Cutlery': 'fork', 'Accuracy': 56}","{'person': {'Top Accuracy': 92, 'Occurrence': 11}, 'fork': {'Top Accuracy': 62, 'Occurrence': 20}}","{'Container': None, 'Accuracy': -1}","[{'Container': None, 'Occurrence': -1, 'Average Accuracy': -1}]",{},{},"{'Glass': None, 'Accuracy': -1}","[{'Glass': None, 'Occurrence': -1, 'Average Accuracy': -1}]",{},{},{},"{'kite': [61, 49], 'vase': [59], 'measuring-cup': [53, 63, 51, 51], 'tennis racket': [49, 51, 57], 'tongs': [55], 'cell phone': [54], 'remote': [48, 47, 48]}"
Indian-Style Mango Lassi,https://tasty.co/recipe/indian-style-mango-lassi,106.0,"[{'Cutlery': 'person', 'Accuracy': 53}]","[{'Cutlery': 'person', 'Occurrence': 4, 'Average Accuracy': 51.5}]","{'Cutlery': 'person', 'Accuracy': 48}","{'person': {'Top Accuracy': 53, 'Occurrence': 4}}","{'Container': 'bowl', 'Accuracy': 62}","[{'Container': 'bowl', 'Occurrence': 23, 'Average Accuracy': 50.95652173913044}]","{'Container': 'bowl', 'Accuracy': 54}","{'bowl': {'Top Accuracy': 62, 'Occurrence': 23}, 'plate': {'Top Accuracy': 52, 'Occurrence': 6}}","{'Glass': 'cup', 'Accuracy': 79}","[{'Glass': 'cup', 'Occurrence': 86, 'Average Accuracy': 64.23255813953489}]","{'Glass': 'cup', 'Accuracy': 64}","{'cup': {'Top Accuracy': 79, 'Occurrence': 86}}",{},"{'umbrella': [47], 'blender': [48, 50, 48, 47], 'toilet': [48, 50, 56, 53, 50, 55, 47, 66, 59, 56], 'turner': [53, 53, 50, 53, 50, 53, 50, 52, 51, 53, 57, 55, 56, 58, 58, 54, 50, 52, 56, 49, 57, 50, 67, 68, 65, 69, 68, 69, 68, 67, 68, 68, 69, 69], 'frisbee': [47, 47], 'vase': [47], 'chair': [48, 47]}"
Mandazi,https://tasty.co/recipe/mandazi,91.0,"[{'Cutlery': 'fork', 'Accuracy': 62}]","[{'Cutlery': 'fork', 'Occurrence': 20, 'Average Accuracy': 52.7}]","{'Cutlery': 'fork', 'Accuracy': 56}","{'person': {'Top Accuracy': 50, 'Occurrence': 5}, 'fork': {'Top Accuracy': 62, 'Occurrence': 20}}","{'Container': None, 'Accuracy': -1}","[{'Container': None, 'Occurrence': -1, 'Average Accuracy': -1}]",{},{},"{'Glass': None, 'Accuracy': -1}","[{'Glass': None, 'Occurrence': -1, 'Average Accuracy': -1}]",{},{},"{'banana': {'Top Accuracy': 62, 'Occurrences': 7}}","{'silicone-spatula': [48, 47, 49, 53, 52, 54, 54, 52, 50, 48], 'kite': [61, 50], 'vase': [55], 'measuring-cup': [53, 63, 52, 50, 47], 'tennis racket': [48, 52, 57], 'tongs': [48, 53], 'cell phone': [52, 49], 'remote': [50, 47, 47, 47, 51, 51, 51]}"
Chai-Spiced Cheesecake Muffins,https://tasty.co/recipe/chai-spiced-cheesecake-muffins,95.0,"[{'Cutlery': 'fork', 'Accuracy': 68}]","[{'Cutlery': 'fork', 'Occurrence': 20, 'Average Accuracy': 52.7}]","{'Cutlery': 'fork', 'Accuracy': 49}","{'person': {'Top Accuracy': 54, 'Occurrence': 3}, 'fork': {'Top Accuracy': 68, 'Occurrence': 20}}","{'Container': 'bowl', 'Accuracy': 54}","[{'Container': 'bowl', 'Occurrence': 11, 'Average Accuracy': 53.63636363636363}]","{'Container': 'bowl', 'Accuracy': 54}","{'bowl': {'Top Accuracy': 54, 'Occurrence': 11}}","{'Glass': None, 'Accuracy': -1}","[{'Glass': None, 'Occurrence': -1, 'Average Accuracy': -1}]",{},{},"{'cake': {'Top Accuracy': 62, 'Occurrences': 1}, 'donut': {'Top Accuracy': 60, 'Occurrences': 10}}","{'measuring-cup': [48, 61, 50], 'kite': [57, 48], 'vase': [54], 'peeler': [48], 'tennis racket': [48, 53, 47, 48], 'tongs': [50], 'cell phone': [50], 'remote': [47, 49, 49, 49], 'teddy bear': [48, 48, 48, 48, 48, 48, 48, 48, 48, 48]}"
Roasted Eggplant Curry,https://tasty.co/recipe/roasted-eggplant-curry,99.0,"[{'Cutlery': 'spoon', 'Accuracy': 49}]","[{'Cutlery': 'spoon', 'Occurrence': 1, 'Average Accuracy': 49.0}]","{'Cutlery': 'spoon', 'Accuracy': 49}","{'spoon': {'Top Accuracy': 49, 'Occurrence': 1}}","{'Container': 'bowl', 'Accuracy': 70}","[{'Container': 'bowl', 'Occurrence': 37, 'Average Accuracy': 53.810810810810814}]","{'Container': 'plate', 'Accuracy': 47}","{'bowl': {'Top Accuracy': 70, 'Occurrence': 37}, 'plate': {'Top Accuracy': 47, 'Occurrence': 5}}","{'Glass': None, 'Accuracy': -1}","[{'Glass': None, 'Occurrence': -1, 'Average Accuracy': -1}]",{},{},"{'cake': {'Top Accuracy': 54, 'Occurrences': 5}}","{'dining table': [51, 52, 50, 49, 52, 55, 55, 56, 52], 'silicone-spatula': [49], 'pan': [70, 70, 71, 71, 78, 80, 81, 88, 88], 'skimmer': [51, 48, 48], 'tongs': [53, 50, 48, 52, 49, 48, 48], 'bed': [51], 'turner': [48, 52, 54, 53, 59, 52, 48, 50, 48, 49], 'vase': [51, 51, 51, 51]}"
Homemade Butter Chicken,https://tasty.co/recipe/homemade-butter-chicken,103.0,"[{'Cutlery': 'spoon', 'Accuracy': 54}]","[{'Cutlery': 'fork', 'Occurrence': 3, 'Average Accuracy': 48.0}, {'Cutlery': 'spoon', 'Occurrence': 3, 'Average Accuracy': 51.0}]","{'Cutlery': 'spoon', 'Accuracy': 50}","{'fork': {'Top Accuracy': 48, 'Occurrence': 3}, 'spoon': {'Top Accuracy': 54, 'Occurrence': 3}}","{'Container': 'bowl', 'Accuracy': 89}","[{'Container': 'bowl', 'Occurrence': 238, 'Average Accuracy': 60.66386554621849}]","{'Container': 'bowl', 'Accuracy': 54}","{'bowl': {'Top Accuracy': 89, 'Occurrence': 238}, 'plate': {'Top Accuracy': 59, 'Occurrence': 30}}","{'Glass': None, 'Accuracy': -1}","[{'Glass': None, 'Occurrence': -1, 'Average Accuracy': -1}]",{},{},"{'cake': {'Top Accuracy': 51, 'Occurrences': 2}}","{'dining table': [53, 51, 50, 52, 48, 52, 49, 48, 50, 50, 49, 48, 48, 48, 48, 49, 50, 49, 47, 48, 50, 47, 50, 50, 48, 50, 51, 51, 51, 51, 51, 48, 48], 'frisbee': [49, 51], 'silicone-spatula': [49], 'tongs': [49, 49], 'pan': [48], 'lepel': [48], 'turner': [50, 60, 50, 51, 55, 55, 51, 49, 49, 50]}"
Easy & Healthy Fried Rice,https://tasty.co/recipe/healthier-fried-rice,102.0,"[{'Cutlery': 'spoon', 'Accuracy': 49}]","[{'Cutlery': 'spoon', 'Occurrence': 2, 'Average Accuracy': 48.0}]","{'Cutlery': 'person', 'Accuracy': 48}","{'spoon': {'Top Accuracy': 49, 'Occurrence': 2}, 'person': {'Top Accuracy': 48, 'Occurrence': 1}}","{'Container': 'bowl', 'Accuracy': 74}","[{'Container': 'bowl', 'Occurrence': 93, 'Average Accuracy': 62.69892473118279}]","{'Container': 'bowl', 'Accuracy': 58}","{'bowl': {'Top Accuracy': 74, 'Occurrence': 93}, 'plate': {'Top Accuracy': 63, 'Occurrence': 18}}","{'Glass': None, 'Accuracy': -1}","[{'Glass': None, 'Occurrence': -1, 'Average Accuracy': -1}]",{},{},"{'broccoli': {'Top Accuracy': 59, 'Occurrences': 25}}","{'pan': [84, 86, 80, 89, 90, 87, 87, 87, 88, 89, 98, 98, 98, 98, 98, 96, 97, 98, 98, 98, 96, 97, 98, 98, 97, 98, 98, 99, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98], 'silicone-spatula': [48, 48], 'hammer': [48], 'turner': [53]}"
Chinese Chicken Curry,https://tasty.co/recipe/chinese-chicken-curry,98.0,"[{'Cutlery': 'person', 'Accuracy': 70}, {'Cutlery': 'spoon', 'Accuracy': 70}]","[{'Cutlery': 'spoon', 'Occurrence': 36, 'Average Accuracy': 55.02777777777778}]","{'Cutlery': 'spoon', 'Accuracy': 59}","{'person': {'Top Accuracy': 70, 'Occurrence': 1}, 'spoon': {'Top Accuracy': 70, 'Occurrence': 36}, 'fork': {'Top Accuracy': 60, 'Occurrence': 26}}","{'Container': 'bowl', 'Accuracy': 87}","[{'Container': 'bowl', 'Occurrence': 221, 'Average Accuracy': 61.69230769230769}]","{'Container': 'bowl', 'Accuracy': 71}","{'bowl': {'Top Accuracy': 87, 'Occurrence': 221}, 'plate': {'Top Accuracy': 58, 'Occurrence': 2}}","{'Glass': None, 'Accuracy': -1}","[{'Glass': None, 'Occurrence': -1, 'Average Accuracy': -1}]",{},{},{},"{'pot': [80, 81, 81, 81, 81, 81, 80, 80, 80, 78, 79, 82, 80, 86, 85, 84, 86, 84, 84, 83, 77, 79, 80, 80, 79, 77, 75, 77, 72, 76, 71, 67, 62, 56, 61, 73, 76, 63, 67, 67, 71, 71, 67, 63, 64, 64, 72, 68, 57, 51, 61, 60, 60, 60, 60, 56, 57, 76], 'skimmer': [58, 49, 61, 69, 66, 76, 71, 74, 64, 53, 48, 48], 'mouse': [53], 'sieve': [58, 60, 60, 63, 56, 55, 62, 64, 56, 57, 50, 51, 51, 54, 54, 53, 48, 54, 64, 51, 50, 51, 50, 47, 48], 'dining table': [48, 55, 57, 55, 55, 55, 56, 56, 55, 55, 55, 53, 55, 57, 54, 55, 54, 58, 58, 62, 62, 59, 62, 58, 59, 59, 60], 'scissors': [48, 47]}"
Healthy Carrot Cake Muffins,https://tasty.co/recipe/healthy-carrot-cake-muffins,111.0,"[{'Cutlery': 'person', 'Accuracy': 52}]","[{'Cutlery': 'spoon', 'Occurrence': 2, 'Average Accuracy': 48.5}]","{'Cutlery': 'person', 'Accuracy': 52}","{'spoon': {'Top Accuracy': 50, 'Occurrence': 2}, 'person': {'Top Accuracy': 52, 'Occurrence': 1}}","{'Container': 'bowl', 'Accuracy': 92}","[{'Container': 'bowl', 'Occurrence': 68, 'Average Accuracy': 68.26470588235294}]","{'Container': 'bowl', 'Accuracy': 50}","{'bowl': {'Top Accuracy': 92, 'Occurrence': 68}, 'plate': {'Top Accuracy': 67, 'Occurrence': 22}}","{'Glass': 'cup', 'Accuracy': 72}","[{'Glass': 'cup', 'Occurrence': 3, 'Average Accuracy': 66.66666666666667}]","{'Glass': 'cup', 'Accuracy': 68}","{'cup': {'Top Accuracy': 72, 'Occurrence': 3}}","{'cake': {'Top Accuracy': 68, 'Occurrences': 40}}","{'whisk': [74], 'frisbee': [48], 'scoop': [57, 64, 63, 62, 50, 59, 59, 50, 49, 52], 'mixer': [49, 48], 'fire hydrant': [49, 50], 'silicone-spatula': [51, 52, 48, 54], 'mouse': [50, 56, 57, 54, 57, 52], 'turner': [48]}"
Classic Carrot Cake,https://tasty.co/recipe/carrot-cake,104.0,"[{'Cutlery': 'fork', 'Accuracy': 68}]","[{'Cutlery': 'fork', 'Occurrence': 20, 'Average Accuracy': 52.6}]","{'Cutlery': 'fork', 'Accuracy': 49}","{'person': {'Top Accuracy': 53, 'Occurrence': 3}, 'fork': {'Top Accuracy': 68, 'Occurrence': 20}}","{'Container': 'bowl', 'Accuracy': 49}","[{'Container': 'bowl', 'Occurrence': 1, 'Average Accuracy': 49.0}]","{'Container': 'bowl', 'Accuracy': 49}","{'bowl': {'Top Accuracy': 49, 'Occurrence': 1}}","{'Glass': None, 'Accuracy': -1}","[{'Glass': None, 'Occurrence': -1, 'Average Accuracy': -1}]",{},{},"{'cake': {'Top Accuracy': 63, 'Occurrences': 7}}","{'measuring-cup': [47, 62, 50], 'kite': [57, 49], 'vase': [54, 48], 'tennis racket': [48, 56, 48, 47], 'peeler': [47], 'tongs': [50], 'cell phone': [52], 'remote': [48, 48, 48, 48, 48, 48]}"
Cilantro Lime Chicken & Veggie Rice Meal Prep,https://tasty.co/recipe/cilantro-lime-chicken-veggie-rice-meal-prep,108.0,"[{'Cutlery': 'fork', 'Accuracy': 62}, {'Cutlery': 'person', 'Accuracy': 58}]","[{'Cutlery': 'person', 'Occurrence': 15, 'Average Accuracy': 54.0}]","{'Cutlery': 'person', 'Accuracy': 58}","{'person': {'Top Accuracy': 58, 'Occurrence': 15}, 'fork': {'Top Accuracy': 62, 'Occurrence': 5}}","{'Container': 'plate', 'Accuracy': 77}","[{'Container': 'plate', 'Occurrence': 37, 'Average Accuracy': 68.70270270270271}]","{'Container': 'plate', 'Accuracy': 69}","{'plate': {'Top Accuracy': 77, 'Occurrence': 37}, 'bowl': {'Top Accuracy': 64, 'Occurrence': 6}}","{'Glass': None, 'Accuracy': -1}","[{'Glass': None, 'Occurrence': -1, 'Average Accuracy': -1}]",{},{},"{'broccoli': {'Top Accuracy': 60, 'Occurrences': 8}}","{'keyboard': [65, 64, 64, 63, 51, 63, 64, 64, 65, 51, 64, 64, 62, 61, 62, 62, 62, 57, 61, 61, 62, 60, 62, 63, 61, 59, 57, 56, 57, 57, 57, 58, 56, 55, 56, 53, 55, 53, 53, 52, 57, 53, 53, 55, 56, 57, 56, 54, 51, 52, 51, 52, 51, 48, 48, 52, 55, 50, 49, 47, 52, 52, 53, 54, 52, 52, 56, 52], 'laptop': [56, 53, 51, 53, 56, 55, 53, 56, 52, 50, 53, 55, 52, 55, 54, 49, 54, 55, 57, 57, 56, 52, 53, 53, 54, 58, 57, 58, 60, 61, 61, 62, 59, 58, 61, 60, 52, 55, 60, 60, 57, 61, 53, 56, 56, 56, 53, 48, 50, 50], 'baking-rack': [61, 60, 52, 55, 57, 47], 'oil-dispenser': [52, 53, 51, 54, 53, 51, 50, 52, 52, 52, 49, 47, 48, 47, 47, 47, 48, 47, 49, 48, 48, 48, 47, 48, 47, 47], 'handbag': [50, 47], 'skimmer': [48], 'jug': [48], 'food-container': [58, 54, 54, 58, 57, 58, 58, 60, 61, 65, 57, 55], 'oven-glove': [48, 48], 'bird': [51], 'cell phone': [47], 'turner': [48], 'bed': [49, 50, 56, 52, 50, 52, 54, 59, 56, 51, 49, 56, 54, 49, 49, 50, 53, 50, 51, 51, 53, 51], 'sieve': [50, 48, 48, 50, 49, 50, 49, 49], 'toothbrush': [52]}"
Keto Friendly Spinach & Artichoke Chicken Rolls,https://tasty.co/recipe/keto-friendly-spinach-artichoke-chicken-rolls,105.0,"[{'Cutlery': 'person', 'Accuracy': 62}]","[{'Cutlery': 'person', 'Occurrence': 35, 'Average Accuracy': 53.8}]","{'Cutlery': 'person', 'Accuracy': 50}","{'person': {'Top Accuracy': 62, 'Occurrence': 35}}","{'Container': None, 'Accuracy': -1}","[{'Container': None, 'Occurrence': -1, 'Average Accuracy': -1}]",{},{},"{'Glass': None, 'Accuracy': -1}","[{'Glass': None, 'Occurrence': -1, 'Average Accuracy': -1}]",{},{},"{'broccoli': {'Top Accuracy': 62, 'Occurrences': 30}}","{'food-container': [67, 64, 73, 65, 77, 64, 74, 65, 74, 64, 76, 60, 79, 66, 80, 65, 67, 61, 57, 49, 58, 51, 57, 55, 52, 58, 50, 49, 54, 61, 50, 54, 51, 53, 54, 56, 55, 55, 59, 60, 59, 56, 85, 83, 68, 86, 84, 68, 85, 81, 69, 86, 85, 69, 49, 86, 85, 68, 50, 86, 85, 69, 50, 85, 84, 70, 53, 85, 82, 70, 61, 84, 83, 70, 60, 84, 84, 70, 59, 84, 84, 70, 60, 84, 84, 70, 62, 85, 83, 71, 63, 84, 84, 72, 64, 84, 83, 71, 64, 84, 84, 71, 70, 84, 83, 72, 63, 84, 82, 72, 64, 47, 84, 84, 73, 62, 47, 85, 83, 66, 66, 85, 81, 64, 60, 85, 80, 64, 63, 85, 82, 66, 66, 86, 82, 67, 66, 86, 83, 67, 66, 85, 82, 66, 65, 85, 82, 67, 61, 84, 81, 64, 63, 85, 81, 67, 61, 49, 63, 63, 51, 64, 58, 48], 'tongs': [61, 59, 49, 61, 64, 48], 'baking-sheet': [59, 53, 56, 51, 59], 'jar': [48, 51, 52, 57, 56, 52, 48, 49, 54, 55, 56, 54, 58, 58, 53, 53, 49, 50, 49, 48, 49, 50], 'car': [56, 48], 'blender': [54, 55, 51, 56, 66, 56, 52, 49], 'cell phone': [49, 58, 55, 60, 53, 53, 52, 50, 50, 47, 54, 48, 48], 'mouse': [50, 59], 'oven': [48, 47, 52, 49, 53, 56, 56, 54, 52, 52, 51, 50, 47, 53, 51], 'turner': [55, 55, 52, 49, 48]}"
Cheesy Mashed Cauliflower,https://tasty.co/recipe/cheesy-mashed-cauliflower,113.0,"[{'Cutlery': 'person', 'Accuracy': 77}, {'Cutlery': 'fork', 'Accuracy': 66}]","[{'Cutlery': 'person', 'Occurrence': 9, 'Average Accuracy': 58.111111111111114}]","{'Cutlery': 'fork', 'Accuracy': 53}","{'spoon': {'Top Accuracy': 47, 'Occurrence': 1}, 'knife': {'Top Accuracy': 48, 'Occurrence': 1}, 'person': {'Top Accuracy': 77, 'Occurrence': 9}, 'fork': {'Top Accuracy': 66, 'Occurrence': 2}}","{'Container': 'bowl', 'Accuracy': 64}","[{'Container': 'bowl', 'Occurrence': 27, 'Average Accuracy': 52.77777777777778}]","{'Container': 'bowl', 'Accuracy': 47}","{'bowl': {'Top Accuracy': 64, 'Occurrence': 27}, 'plate': {'Top Accuracy': 48, 'Occurrence': 4}}","{'Glass': 'cup', 'Accuracy': 58}","[{'Glass': 'cup', 'Occurrence': 30, 'Average Accuracy': 51.06666666666667}]","{'Glass': 'cup', 'Accuracy': 48}","{'cup': {'Top Accuracy': 58, 'Occurrence': 30}}","{'cake': {'Top Accuracy': 56, 'Occurrences': 4}}","{'pan': [61, 74, 68, 62, 77, 78, 81, 49, 61, 59, 62, 69, 70, 65, 69, 76, 74, 77, 68, 61, 63, 72, 73, 74, 64, 61, 47, 71, 72, 78, 85, 78, 76, 61, 68, 74, 82, 78, 67, 76, 58, 67, 71, 66, 68, 59, 62, 66, 70, 72, 70, 62], 'skimmer': [56], 'sieve': [55, 51, 55, 66, 68], 'silicone-spatula': [48], 'toilet': [59], 'blender': [59], 'pinch-bowl': [47, 49, 48], 'scissors': [54, 64, 50], 'food-container': [48, 48, 48, 49, 50, 56, 49, 47, 48, 49]}"
Hidden Veggie Mac & Cheese,https://tasty.co/recipe/hidden-veggie-mac-cheese,107.0,"[{'Cutlery': 'person', 'Accuracy': 88}, {'Cutlery': 'spoon', 'Accuracy': 64}]","[{'Cutlery': 'person', 'Occurrence': 90, 'Average Accuracy': 84.05555555555556}]","{'Cutlery': 'spoon', 'Accuracy': 61}","{'person': {'Top Accuracy': 88, 'Occurrence': 90}, 'spoon': {'Top Accuracy': 64, 'Occurrence': 11}}","{'Container': 'bowl', 'Accuracy': 74}","[{'Container': 'bowl', 'Occurrence': 200, 'Average Accuracy': 64.8}]","{'Container': 'bowl', 'Accuracy': 61}","{'bowl': {'Top Accuracy': 74, 'Occurrence': 200}}","{'Glass': None, 'Accuracy': -1}","[{'Glass': None, 'Occurrence': -1, 'Average Accuracy': -1}]",{},{},"{'apple': {'Top Accuracy': 58, 'Occurrences': 90}}","{'cell phone': [48], 'parking meter': [48, 49, 49, 52, 51, 51, 54, 62, 60, 60, 60], 'pot': [74, 74, 74, 74, 74, 69, 68, 71, 72, 72], 'lid': [51, 51, 51, 51, 55, 60, 57, 59, 59, 59], 'skateboard': [48], 'turner': [51, 52, 51, 51, 50, 50, 50, 51, 51, 50, 50, 51, 51, 51, 51, 50, 51, 52, 54, 52, 52, 57, 56, 54, 52, 54, 54, 53, 51, 53, 53], 'silicone-spatula': [54, 54, 52, 48], 'jug': [49]}"
The Best Ever Cauliflower Pizza Crust,https://tasty.co/recipe/cauliflower-crust-pizza,117.0,"[{'Cutlery': 'person', 'Accuracy': 69}, {'Cutlery': 'spoon', 'Accuracy': 57}]","[{'Cutlery': 'person', 'Occurrence': 13, 'Average Accuracy': 56.92307692307692}]","{'Cutlery': 'person', 'Accuracy': 69}","{'person': {'Top Accuracy': 69, 'Occurrence': 13}, 'spoon': {'Top Accuracy': 57, 'Occurrence': 1}}","{'Container': None, 'Accuracy': -1}","[{'Container': None, 'Occurrence': -1, 'Average Accuracy': -1}]",{},{},"{'Glass': None, 'Accuracy': -1}","[{'Glass': None, 'Occurrence': -1, 'Average Accuracy': -1}]",{},{},"{'cake': {'Top Accuracy': 75, 'Occurrences': 84}}","{'sieve': [57, 48, 55, 55, 56, 55, 51, 55, 54, 54, 62, 58, 58, 58, 58, 55, 51, 60, 54, 60, 67, 59, 56, 57, 57, 55, 55, 55, 54, 54, 54, 54, 53, 54, 55, 54, 56], 'toothbrush': [63, 51], 'tennis racket': [47], 'skimmer': [48, 52, 50], 'surfboard': [51], 'bench': [52], 'bed': [67, 61, 47]}"
Low-Carb Mediterranean Chicken And Tomato By Kevin Curry,https://tasty.co/recipe/low-carb-mediterranean-chicken-and-tomato-by-kevin-curry,110.0,"[{'Cutlery': 'person', 'Accuracy': 92}]","[{'Cutlery': 'person', 'Occurrence': 99, 'Average Accuracy': 86.57575757575758}]","{'Cutlery': 'person', 'Accuracy': 85}","{'person': {'Top Accuracy': 92, 'Occurrence': 99}}","{'Container': 'bowl', 'Accuracy': 63}","[{'Container': 'bowl', 'Occurrence': 39, 'Average Accuracy': 54.743589743589745}]","{'Container': 'bowl', 'Accuracy': 54}","{'bowl': {'Top Accuracy': 63, 'Occurrence': 39}}","{'Glass': None, 'Accuracy': -1}","[{'Glass': None, 'Occurrence': -1, 'Average Accuracy': -1}]",{},{},"{'donut': {'Top Accuracy': 62, 'Occurrences': 11}}","{'tongs': [60], 'teddy bear': [49, 50, 50, 49, 49, 48, 47, 47, 47, 48, 48]}"
"Healthy Cauliflower Fried ""Rice""",https://tasty.co/recipe/healthy-cauliflower-fried-rice,112.0,"[{'Cutlery': None, 'Accuracy': -1}]","[{'Cutlery': None, 'Occurrence': -1, 'Average Accuracy': -1}]",{},{},"{'Container': 'bowl', 'Accuracy': 84}","[{'Container': 'bowl', 'Occurrence': 124, 'Average Accuracy': 69.88709677419355}]","{'Container': 'bowl', 'Accuracy': 84}","{'bowl': {'Top Accuracy': 84, 'Occurrence': 124}}","{'Glass': 'cup', 'Accuracy': 49}","[{'Glass': 'cup', 'Occurrence': 1, 'Average Accuracy': 49.0}]","{'Glass': 'cup', 'Accuracy': 49}","{'cup': {'Top Accuracy': 49, 'Occurrence': 1}}",{},"{'pan': [52, 51, 50, 48, 48, 48, 48, 48, 47, 47, 47, 55, 50, 57, 60, 61, 55, 52, 49, 60, 54, 53, 65, 68, 62, 48, 53, 60, 56, 49, 50, 51, 55, 54, 59, 51, 53, 67, 60, 62, 63, 60, 53, 56, 61, 50, 60, 54, 56, 51, 60, 53, 65, 51, 63, 53, 52, 56, 51, 52, 51, 59, 47, 55, 50, 52, 59, 61, 58, 49, 58, 50, 52, 56, 55, 68, 50, 50, 55, 51, 56, 50, 51, 48], 'silicone-spatula': [52, 48, 52, 57, 48, 51, 51, 51, 55, 59], 'pinch-bowl': [54], 'turner': [52, 60, 54, 47, 53, 52], 'skimmer': [51], 'sieve': [51, 61], 'mouse': [50]}"
Cauliflower Gnocchi,https://tasty.co/recipe/cauliflower-gnocchi,114.0,"[{'Cutlery': 'fork', 'Accuracy': 76}]","[{'Cutlery': 'fork', 'Occurrence': 33, 'Average Accuracy': 57.57575757575758}]","{'Cutlery': 'fork', 'Accuracy': 55}","{'fork': {'Top Accuracy': 76, 'Occurrence': 33}, 'person': {'Top Accuracy': 52, 'Occurrence': 6}}","{'Container': 'bowl', 'Accuracy': 67}","[{'Container': 'bowl', 'Occurrence': 17, 'Average Accuracy': 59.8235294117647}]","{'Container': 'bowl', 'Accuracy': 63}","{'bowl': {'Top Accuracy': 67, 'Occurrence': 17}, 'plate': {'Top Accuracy': 50, 'Occurrence': 2}}","{'Glass': None, 'Accuracy': -1}","[{'Glass': None, 'Occurrence': -1, 'Average Accuracy': -1}]",{},{},"{'broccoli': {'Top Accuracy': 59, 'Occurrences': 28}}","{'silicone-spatula': [51, 51, 51, 54, 55, 54, 57], 'kite': [59, 48], 'vase': [54], 'measuring-cup': [54, 63, 52, 51], 'tennis racket': [50, 54, 58], 'tongs': [53], 'cell phone': [58, 47, 49], 'remote': [52, 47, 51, 51, 51]}"
"Uncle Pooh’s Shrimp, Sausage, And Grits",https://tasty.co/recipe/uncle-poohs-shrimp-sausage-and-grits,115.0,"[{'Cutlery': 'person', 'Accuracy': 94}, {'Cutlery': 'fork', 'Accuracy': 61}]","[{'Cutlery': 'person', 'Occurrence': 91, 'Average Accuracy': 86.53846153846153}]","{'Cutlery': 'person', 'Accuracy': 85}","{'person': {'Top Accuracy': 94, 'Occurrence': 91}, 'fork': {'Top Accuracy': 61, 'Occurrence': 10}}","{'Container': 'bowl', 'Accuracy': 67}","[{'Container': 'bowl', 'Occurrence': 125, 'Average Accuracy': 58.84}]","{'Container': 'bowl', 'Accuracy': 51}","{'bowl': {'Top Accuracy': 67, 'Occurrence': 125}, 'plate': {'Top Accuracy': 57, 'Occurrence': 11}}","{'Glass': None, 'Accuracy': -1}","[{'Glass': None, 'Occurrence': -1, 'Average Accuracy': -1}]",{},{},{},"{'blender': [51, 50, 48, 48], 'toothbrush': [59], 'cell phone': [47, 47, 49, 52], 'tv': [52, 47], 'sieve': [58, 57, 57, 58, 58, 59, 60, 60, 57, 50, 48, 49, 48, 47, 48, 48, 48, 49], 'parking meter': [56, 59, 60, 56, 57, 58, 56, 49, 48], 'stop sign': [48]}"
Quick And Easy Tomato Avocado Melt,https://tasty.co/recipe/quick-and-easy-tomato-avocado-melt,116.0,"[{'Cutlery': 'person', 'Accuracy': 67}]","[{'Cutlery': 'person', 'Occurrence': 16, 'Average Accuracy': 55.0625}]","{'Cutlery': 'person', 'Accuracy': 67}","{'person': {'Top Accuracy': 67, 'Occurrence': 16}}","{'Container': None, 'Accuracy': -1}","[{'Container': None, 'Occurrence': -1, 'Average Accuracy': -1}]",{},{},"{'Glass': None, 'Accuracy': -1}","[{'Glass': None, 'Occurrence': -1, 'Average Accuracy': -1}]",{},{},"{'cake': {'Top Accuracy': 66, 'Occurrences': 24}, 'donut': {'Top Accuracy': 59, 'Occurrences': 2}}","{'surfboard': [50, 55, 50, 50, 56], 'food-container': [52, 57, 59, 52, 50, 48, 57, 52, 50, 50, 51, 53, 54, 54, 50, 51, 49, 60, 57, 55, 54, 54, 54, 54, 54, 54, 54, 54], 'dining table': [52], 'jar': [49, 50, 49, 49, 47, 49, 51, 51, 48], 'jug': [49, 51, 50], 'toothbrush': [59, 57, 50, 48, 48], 'turner': [49, 47], 'tongs': [58]}"
