Food,Verbs,Top 5 Verbs,Antonyms,Top 5 Antonyms
cup,"{'note': 1, 'use': 1, 'scoop': 1}","{'note': 1, 'use': 1, 'scoop': 1, None: -1}","{'ignore': {'Original Verb': ['note'], 'Verb Counter': 1}}","{'ignore': {'Original Verb': ['note'], 'Verb Counter': 1}}"
broccoli,"{'trim': 1, 'chop': 1, 'mix': 1}","{'trim': 1, 'chop': 1, 'mix': 1, None: -1}","{'segregate': {'Original Verb': ['mix'], 'Verb Counter': 1}}","{'segregate': {'Original Verb': ['mix'], 'Verb Counter': 1}}"
butter,"{'combine': 1, 'sauté': 1, 'mix': 1, 'brush': 1}","{'combine': 1, 'sauté': 1, 'mix': 1, 'brush': 1, None: -1}","{'segregate': {'Original Verb': ['mix'], 'Verb Counter': 1}}","{'segregate': {'Original Verb': ['mix'], 'Verb Counter': 1}}"
onion,"{'combine': 1, 'sauté': 1}","{'combine': 1, 'sauté': 1, None: -1}",{},{}
flour,"{'add': 1, 'stir': 1, 'brown': 1}","{'add': 1, 'stir': 1, 'brown': 1, None: -1}","{'take_away': {'Original Verb': ['add'], 'Verb Counter': 1}, 'subtract': {'Original Verb': ['add'], 'Verb Counter': 1}}","{'take_away': {'Original Verb': ['add'], 'Verb Counter': 1}, 'subtract': {'Original Verb': ['add'], 'Verb Counter': 1}}"
carrot,{'mix': 1},"{'mix': 1, None: -1}","{'segregate': {'Original Verb': ['mix'], 'Verb Counter': 1}}","{'segregate': {'Original Verb': ['mix'], 'Verb Counter': 1}}"
salt,{'mix': 1},"{'mix': 1, None: -1}","{'segregate': {'Original Verb': ['mix'], 'Verb Counter': 1}}","{'segregate': {'Original Verb': ['mix'], 'Verb Counter': 1}}"
pepper,{'mix': 1},"{'mix': 1, None: -1}","{'segregate': {'Original Verb': ['mix'], 'Verb Counter': 1}}","{'segregate': {'Original Verb': ['mix'], 'Verb Counter': 1}}"
nutmeg,{'mix': 1},"{'mix': 1, None: -1}","{'segregate': {'Original Verb': ['mix'], 'Verb Counter': 1}}","{'segregate': {'Original Verb': ['mix'], 'Verb Counter': 1}}"
cheese,"{'add': 1, 'stir': 1, 'melt': 1, 'combine': 1, 'place': 1, 'spoon': 1, 'bake': 1, 'be': 1, 'start': 1}","{'add': 1, 'stir': 1, 'melt': 1, 'combine': 1, 'place': 1}","{'take_away': {'Original Verb': ['add'], 'Verb Counter': 1}, 'subtract': {'Original Verb': ['add'], 'Verb Counter': 1}, 'divest': {'Original Verb': ['place'], 'Verb Counter': 1}, 'differ': {'Original Verb': ['be'], 'Verb Counter': 1}, 'middle': {'Original Verb': ['start'], 'Verb Counter': 1}, 'finish': {'Original Verb': ['start'], 'Verb Counter': 1}, 'end': {'Original Verb': ['start', 'start', 'start'], 'Verb Counter': 3}, 'stop': {'Original Verb': ['start', 'start'], 'Verb Counter': 2}}","{'take_away': {'Original Verb': ['add'], 'Verb Counter': 1}, 'subtract': {'Original Verb': ['add'], 'Verb Counter': 1}, 'divest': {'Original Verb': ['place'], 'Verb Counter': 1}}"
ingredient,"{'add': 1, 'stir': 1, 'melt': 1, 'combine': 1}","{'add': 1, 'stir': 1, 'melt': 1, 'combine': 1, None: -1}","{'take_away': {'Original Verb': ['add'], 'Verb Counter': 1}, 'subtract': {'Original Verb': ['add'], 'Verb Counter': 1}}","{'take_away': {'Original Verb': ['add'], 'Verb Counter': 1}, 'subtract': {'Original Verb': ['add'], 'Verb Counter': 1}}"
bun,"{'leave': 1, 'place': 2, 'cut': 1, 'make': 2, 'push': 1, 'compact': 1, 'mix': 1, 'brush': 1, 'bake': 1, 'toast': 1, 'help': 1, 'firm': 1, 'collapse': 1, 'spoon': 1, 'slide': 1, 'top': 1}","{'place': 2, 'make': 2, 'leave': 1, 'cut': 1, 'push': 1}","{'arrive': {'Original Verb': ['leave'], 'Verb Counter': 1}, 'enter': {'Original Verb': ['leave'], 'Verb Counter': 1}, 'disinherit': {'Original Verb': ['leave'], 'Verb Counter': 1}, 'divest': {'Original Verb': ['place'], 'Verb Counter': 2}, 'switch_on': {'Original Verb': ['cut'], 'Verb Counter': 1}, 'expand': {'Original Verb': ['cut'], 'Verb Counter': 1}, 'uncut': {'Original Verb': ['cut', 'cut', 'cut'], 'Verb Counter': 3}, 'untrimmed': {'Original Verb': ['cut'], 'Verb Counter': 1}, 'unmown': {'Original Verb': ['cut'], 'Verb Counter': 1}, 'unmake': {'Original Verb': ['make'], 'Verb Counter': 2}, 'break': {'Original Verb': ['make'], 'Verb Counter': 2}, 'pull': {'Original Verb': ['push'], 'Verb Counter': 1}, 'decompress': {'Original Verb': ['compact'], 'Verb Counter': 1}, 'loose': {'Original Verb': ['compact'], 'Verb Counter': 1}, 'segregate': {'Original Verb': ['mix'], 'Verb Counter': 1}, 'bottom': {'Original Verb': ['top', 'top'], 'Verb Counter': 2}}","{'divest': {'Original Verb': ['place'], 'Verb Counter': 2}, 'unmake': {'Original Verb': ['make'], 'Verb Counter': 2}, 'break': {'Original Verb': ['make'], 'Verb Counter': 2}, 'arrive': {'Original Verb': ['leave'], 'Verb Counter': 1}, 'enter': {'Original Verb': ['leave'], 'Verb Counter': 1}, 'disinherit': {'Original Verb': ['leave'], 'Verb Counter': 1}, 'switch_on': {'Original Verb': ['cut'], 'Verb Counter': 1}, 'expand': {'Original Verb': ['cut'], 'Verb Counter': 1}, 'uncut': {'Original Verb': ['cut', 'cut', 'cut'], 'Verb Counter': 3}, 'untrimmed': {'Original Verb': ['cut'], 'Verb Counter': 1}, 'unmown': {'Original Verb': ['cut'], 'Verb Counter': 1}, 'pull': {'Original Verb': ['push'], 'Verb Counter': 1}}"
dish,"{'leave': 1, 'place': 1}","{'leave': 1, 'place': 1, None: -1}","{'arrive': {'Original Verb': ['leave'], 'Verb Counter': 1}, 'enter': {'Original Verb': ['leave'], 'Verb Counter': 1}, 'disinherit': {'Original Verb': ['leave'], 'Verb Counter': 1}, 'divest': {'Original Verb': ['place'], 'Verb Counter': 1}}","{'arrive': {'Original Verb': ['leave'], 'Verb Counter': 1}, 'enter': {'Original Verb': ['leave'], 'Verb Counter': 1}, 'disinherit': {'Original Verb': ['leave'], 'Verb Counter': 1}, 'divest': {'Original Verb': ['place'], 'Verb Counter': 1}}"
bread,"{'push': 1, 'compact': 1, 'make': 1}","{'push': 1, 'compact': 1, 'make': 1, None: -1}","{'pull': {'Original Verb': ['push'], 'Verb Counter': 1}, 'decompress': {'Original Verb': ['compact'], 'Verb Counter': 1}, 'loose': {'Original Verb': ['compact'], 'Verb Counter': 1}, 'unmake': {'Original Verb': ['make'], 'Verb Counter': 1}, 'break': {'Original Verb': ['make'], 'Verb Counter': 1}}","{'pull': {'Original Verb': ['push'], 'Verb Counter': 1}, 'decompress': {'Original Verb': ['compact'], 'Verb Counter': 1}, 'loose': {'Original Verb': ['compact'], 'Verb Counter': 1}, 'unmake': {'Original Verb': ['make'], 'Verb Counter': 1}, 'break': {'Original Verb': ['make'], 'Verb Counter': 1}}"
cut,"{'push': 1, 'compact': 1, 'make': 1}","{'push': 1, 'compact': 1, 'make': 1, None: -1}","{'pull': {'Original Verb': ['push'], 'Verb Counter': 1}, 'decompress': {'Original Verb': ['compact'], 'Verb Counter': 1}, 'loose': {'Original Verb': ['compact'], 'Verb Counter': 1}, 'unmake': {'Original Verb': ['make'], 'Verb Counter': 1}, 'break': {'Original Verb': ['make'], 'Verb Counter': 1}}","{'pull': {'Original Verb': ['push'], 'Verb Counter': 1}, 'decompress': {'Original Verb': ['compact'], 'Verb Counter': 1}, 'loose': {'Original Verb': ['compact'], 'Verb Counter': 1}, 'unmake': {'Original Verb': ['make'], 'Verb Counter': 1}, 'break': {'Original Verb': ['make'], 'Verb Counter': 1}}"
filling,"{'help': 2, 'reduce': 1, 'bake': 1, 'toast': 1, 'firm': 1, 'collapse': 1}","{'help': 2, 'reduce': 1, 'bake': 1, 'toast': 1, 'firm': 1}","{'blow_up': {'Original Verb': ['reduce'], 'Verb Counter': 1}, 'oxidize': {'Original Verb': ['reduce'], 'Verb Counter': 1}, 'oxidise': {'Original Verb': ['reduce'], 'Verb Counter': 1}, 'expand': {'Original Verb': ['reduce'], 'Verb Counter': 1}, 'gain': {'Original Verb': ['reduce'], 'Verb Counter': 1}}","{'blow_up': {'Original Verb': ['reduce'], 'Verb Counter': 1}, 'oxidize': {'Original Verb': ['reduce'], 'Verb Counter': 1}, 'oxidise': {'Original Verb': ['reduce'], 'Verb Counter': 1}, 'expand': {'Original Verb': ['reduce'], 'Verb Counter': 1}, 'gain': {'Original Verb': ['reduce'], 'Verb Counter': 1}}"
mess,"{'help': 1, 'reduce': 1}","{'help': 1, 'reduce': 1, None: -1}","{'blow_up': {'Original Verb': ['reduce'], 'Verb Counter': 1}, 'oxidize': {'Original Verb': ['reduce'], 'Verb Counter': 1}, 'oxidise': {'Original Verb': ['reduce'], 'Verb Counter': 1}, 'expand': {'Original Verb': ['reduce'], 'Verb Counter': 1}, 'gain': {'Original Verb': ['reduce'], 'Verb Counter': 1}}","{'blow_up': {'Original Verb': ['reduce'], 'Verb Counter': 1}, 'oxidize': {'Original Verb': ['reduce'], 'Verb Counter': 1}, 'oxidise': {'Original Verb': ['reduce'], 'Verb Counter': 1}, 'expand': {'Original Verb': ['reduce'], 'Verb Counter': 1}, 'gain': {'Original Verb': ['reduce'], 'Verb Counter': 1}}"
garlic,"{'mix': 1, 'brush': 1}","{'mix': 1, 'brush': 1, None: -1}","{'segregate': {'Original Verb': ['mix'], 'Verb Counter': 1}}","{'segregate': {'Original Verb': ['mix'], 'Verb Counter': 1}}"
parsley,"{'mix': 1, 'brush': 1, 'top': 1, 'slice': 1, 'serve': 1}","{'mix': 1, 'brush': 1, 'top': 1, 'slice': 1, 'serve': 1}","{'segregate': {'Original Verb': ['mix'], 'Verb Counter': 1}, 'bottom': {'Original Verb': ['top', 'top'], 'Verb Counter': 2}}","{'segregate': {'Original Verb': ['mix'], 'Verb Counter': 1}, 'bottom': {'Original Verb': ['top', 'top'], 'Verb Counter': 2}}"
cheddar,"{'place': 1, 'spoon': 1}","{'place': 1, 'spoon': 1, None: -1}","{'divest': {'Original Verb': ['place'], 'Verb Counter': 1}}","{'divest': {'Original Verb': ['place'], 'Verb Counter': 1}}"
chili,"{'place': 1, 'spoon': 1, 'slide': 1, 'top': 1, 'bake': 1, 'be': 1, 'start': 1}","{'place': 1, 'spoon': 1, 'slide': 1, 'top': 1, 'bake': 1}","{'divest': {'Original Verb': ['place'], 'Verb Counter': 1}, 'bottom': {'Original Verb': ['top', 'top'], 'Verb Counter': 2}, 'differ': {'Original Verb': ['be'], 'Verb Counter': 1}, 'middle': {'Original Verb': ['start'], 'Verb Counter': 1}, 'finish': {'Original Verb': ['start'], 'Verb Counter': 1}, 'end': {'Original Verb': ['start', 'start', 'start'], 'Verb Counter': 3}, 'stop': {'Original Verb': ['start', 'start'], 'Verb Counter': 2}}","{'divest': {'Original Verb': ['place'], 'Verb Counter': 1}, 'bottom': {'Original Verb': ['top', 'top'], 'Verb Counter': 2}}"
